time,actualPrice,volume,
0930,29.80,8965,
0931,29.62,12209,
0932,29.55,19097,
0933,29.60,21908,
0934,29.57,24804,
0935,29.57,25975,
0936,29.49,30294,
0937,29.52,34565,
0938,29.51,38133,
0939,29.55,41374,
0940,29.54,44385,
0941,29.50,46829,
0942,29.48,49683,
0943,29.47,51575,
0944,29.46,54492,
0945,29.59,57339,
0946,29.56,58476,
0947,29.53,59199,
0948,29.55,59784,
0949,29.57,60970,
0950,29.54,61961,
0951,29.52,63345,
0952,29.43,65600,
0953,29.48,66579,
0954,29.49,68356,
0955,29.53,71821,
0956,29.53,75045,
0957,29.51,78390,
0958,29.49,79712,
0959,29.48,80293,
1000,29.50,81775,
1001,29.46,83170,
1002,29.47,84099,
1003,29.49,85189,
1004,29.51,87004,
1005,29.55,91452,
1006,29.43,97580,
1007,29.47,100287,
1008,29.49,103115,
1009,29.49,104611,
1010,29.48,105195,
1011,29.48,106018,
1012,29.48,107050,
1013,29.48,109468,
1014,29.52,110039,
1015,29.49,111349,
1016,29.50,112240,
1017,29.47,112764,
1018,29.47,113560,
1019,29.35,123330,
1020,29.41,125116,
1021,29.40,127378,
1022,29.39,129007,
1023,29.37,130866,
1024,29.37,134538,
1025,29.45,136110,
1026,29.41,137268,
1027,29.41,138041,
1028,29.40,139660,
1029,29.39,141084,
1030,29.36,143018,
1031,29.37,144722,
1032,29.39,146760,
1033,29.39,148367,
1034,29.39,149017,
1035,29.38,150493,
1036,29.45,152062,
1037,29.46,152536,
1038,29.44,153072,
1039,29.43,153756,
1040,29.42,154552,
1041,29.44,155451,
1042,29.42,155766,
1043,29.42,157433,
1044,29.38,158077,
1045,29.37,158620,
1046,29.39,160257,
1047,29.38,160905,
1048,29.37,161435,
1049,29.38,161944,
1050,29.36,164156,
1051,29.36,164854,
1052,29.37,165983,
1053,29.40,166822,
1054,29.44,168041,
1055,29.37,169987,
1056,29.41,170475,
1057,29.41,170603,
1058,29.42,170995,
1059,29.40,171295,
1100,29.40,171580,
1101,29.38,172073,
1102,29.39,173289,
1103,29.40,173788,
1104,29.21,185848,
1105,29.25,189190,
1106,29.20,192108,
1107,29.22,195183,
1108,29.13,201309,
1109,29.06,208070,
1110,29.15,212635,
1111,29.09,217798,
1112,29.16,220938,
1113,29.16,222523,
1114,29.12,227028,
1115,29.13,229317,
1116,29.13,230955,
1117,29.11,234730,
1118,29.13,237751,
1119,29.14,238542,
1120,29.12,242287,
1121,29.08,246323,
1122,29.05,249536,
1123,29.07,254009,
1124,29.04,255993,
1125,29.01,260315,
1126,29.03,262952,
1127,29.11,264745,
1128,29.11,265853,
1129,29.19,267433,
1130,29.20,267444,
1300,29.21,270035,
1301,29.17,272114,
1302,29.18,273231,
1303,29.22,274260,
1304,29.23,274830,
1305,29.22,275723,
1306,29.20,276957,
1307,29.23,278692,
1308,29.26,279945,
1309,29.27,280354,
1310,29.22,281865,
1311,29.25,282879,
1312,29.22,285117,
1313,29.20,286476,
1314,29.28,288081,
1315,29.21,291149,
1316,29.27,291866,
1317,29.26,292475,
1318,29.31,293169,
1319,29.31,294390,
1320,29.28,295173,
1321,29.27,295458,
1322,29.28,295983,
1323,29.35,297161,
1324,29.41,299450,
1325,29.37,301470,
1326,29.39,302795,
1327,29.39,303679,
1328,29.38,304995,
1329,29.41,306163,
1330,29.44,308204,
1331,29.39,309627,
1332,29.40,310809,
1333,29.39,311585,
1334,29.39,312080,
1335,29.39,312737,
1336,29.41,313657,
1337,29.41,315482,
1338,29.41,316286,
1339,29.47,319152,
1340,29.43,320880,
1341,29.45,321641,
1342,29.43,322111,
1343,29.42,323057,
1344,29.48,325350,
1345,29.48,328417,
1346,29.49,330743,
1347,29.49,332533,
1348,29.46,334049,
1349,29.43,335012,
1350,29.42,335668,
1351,29.43,336249,
1352,29.45,337082,
1353,29.42,337715,
1354,29.41,338919,
1355,29.44,339452,
1356,29.43,341761,
1357,29.49,344358,
1358,29.45,345399,
1359,29.48,346871,
1400,29.46,347639,
1401,29.46,348193,
1402,29.48,350028,
1403,29.50,350883,
1404,29.50,352276,
1405,29.50,353956,
1406,29.48,355260,
1407,29.42,356350,
1408,29.34,358567,
1409,29.39,359454,
1410,29.43,359861,
1411,29.39,360942,
1412,29.40,361787,
1413,29.40,362259,
1414,29.40,363157,
1415,29.39,364511,
1416,29.43,366868,
1417,29.42,367549,
1418,29.41,368450,
1419,29.40,368961,
1420,29.40,369722,
1421,29.40,370501,
1422,29.46,371654,
1423,29.50,374319,
1424,29.46,375207,
1425,29.43,375626,
1426,29.36,378795,
1427,29.40,379309,
1428,29.41,379751,
1429,29.40,380315,
1430,29.41,380687,
1431,29.39,381302,
1432,29.38,381861,
1433,29.38,383938,
1434,29.43,385472,
1435,29.46,386820,
1436,29.50,388524,
1437,29.48,390317,
1438,29.45,391057,
1439,29.46,392320,
1440,29.46,393930,
1441,29.48,396760,
1442,29.50,398925,
1443,29.53,401217,
1444,29.54,404558,
1445,29.55,407751,
1446,29.57,411007,
1447,29.55,414021,
1448,29.56,416270,
1449,29.56,419541,
1450,29.56,421963,
1451,29.56,424645,
1452,29.59,428506,
1453,29.60,433134,
1454,29.62,435989,
1455,29.60,439526,
1456,29.60,442101,
1457,29.59,442318,
1458,29.59,442318,
1459,29.59,442318,
1500,14.10,447456,
